"","date","aju_1","aju_2","aju_3","aju_4"
"1",2020-02-21,0,0,0,0
"2",2020-02-22,0,0,0,0
"3",2020-02-23,0,0,0,0
"4",2020-02-24,0,0,0,0
"5",2020-02-25,0,0,0,0
"6",2020-02-26,0,0,0,0
"7",2020-02-27,0,0,0,0
"8",2020-02-28,0,0,0,0
"9",2020-02-29,0,0,0,0
"10",2020-03-01,0,0,0,0
"11",2020-03-02,0,0,0,0
"12",2020-03-03,0,0,0,0
"13",2020-03-04,0,0,0,0
"14",2020-03-05,0,0,0,0
"15",2020-03-06,0,0,0,0
"16",2020-03-07,0,0,0,0
"17",2020-03-08,0,0,0,0
"18",2020-03-09,0,0,0,0
"19",2020-03-10,0,0,0,0
"20",2020-03-11,0,0,0,0
"21",2020-03-12,0,0,0,0
"22",2020-03-13,0,0,0,0
"23",2020-03-14,0,0,0,0
"24",2020-03-15,0,0,0,0
"25",2020-03-16,0,0,0,0
"26",2020-03-17,0,0,0,0
"27",2020-03-18,0,0,0,0
"28",2020-03-19,0,0,0,0
"29",2020-03-20,0,0,0,0
"30",2020-03-21,0,0,0,0
"31",2020-03-22,0,0,0,0
"32",2020-03-23,0,0,0,0
"33",2020-03-24,0,0,0,0
"34",2020-03-25,0,0,0,0
"35",2020-03-26,0,0,0,0
"36",2020-03-27,0,0,0,0
"37",2020-03-28,0,0,0,0
"38",2020-03-29,0,0,0,0
"39",2020-03-30,0,0,0,0
"40",2020-03-31,0,0,0,0
"41",2020-04-01,0,0,0,0
"42",2020-04-02,0,0,0,0
"43",2020-04-03,0,0,0,0
"44",2020-04-04,0,0,0,0
"45",2020-04-05,0,0,0,0
"46",2020-04-06,0,0,0,0
"47",2020-04-07,0,0,0,0
"48",2020-04-08,0,0,0,0
"49",2020-04-09,0,0,0,0
"50",2020-04-10,0,0,0,0
"51",2020-04-11,0,0,0,0
"52",2020-04-12,0,0,0,0
"53",2020-04-13,0,0,0,0
"54",2020-04-14,0,0,0,0
"55",2020-04-15,0,0,0,0
"56",2020-04-16,0,0,0,0
"57",2020-04-17,0,0,0,0
"58",2020-04-18,0,0,0,0
"59",2020-04-19,0,0,0,0
"60",2020-04-20,0,0,0,0
"61",2020-04-21,0,0,0,0
"62",2020-04-22,0,0,0,0
"63",2020-04-23,0,0,0,0
"64",2020-04-24,0,0,0,0.0000000000656340574950863
"65",2020-04-25,0,0,0,0.000000000179512635822095
"66",2020-04-26,0,0,0,0.000000000331698856887788
"67",2020-04-27,0,0,0,0.000000000570899421900519
"68",2020-04-28,0,0,0,0.000000000918306062955369
"69",2020-04-29,0,0,0,0.00000000138427974673274
"70",2020-04-30,0,0,0,0.00000000195147601185343
"71",2020-05-01,0,0,0,0.00000000269643396021628
"72",2020-05-02,0,0,0,0.0000000036153063211054
"73",2020-05-03,0,0,0,0.00000000471999043003494
"74",2020-05-04,0,0,0,0.00000000601048628700490
"75",2020-05-05,0,0,0,0.00000000748939683094845
"76",2020-05-06,0,0,0,0.0000000092213638282503
"77",2020-05-07,0,0,0,0.0000000111995690420895
"78",2020-05-08,0,0,0,0.0000000133615444687769
"79",2020-05-09,0,0,0,0.00000001571752991643
"80",2020-05-10,0,0,0,0.0000000182662501390137
"81",2020-05-11,0,0,0,0.0000000211048031604156
"82",2020-05-12,0,0,0,0.0000000248551389261294
"83",2020-05-13,0,0,0,0.0000000310532939738772
"84",2020-05-14,0,0,0,0.0000000434489964203006
"85",2020-05-15,0,0,0,0.0000000687010225054075
"86",2020-05-16,0,0,0,0.000000118125004224191
"87",2020-05-17,0,0,0,0.000000205148297438084
"88",2020-05-18,0,0,0,0.000000351486330686166
"89",2020-05-19,0,0,0,0.000000585136296625074
"90",2020-05-20,0,0,0,0.000000942756857519665
"91",2020-05-21,0,0,0,0.00000147314592622243
"92",2020-05-22,0,0,0,0.00000223346638129892
"93",2020-05-23,0,0,0,0.00000330036992601229
"94",2020-05-24,0,0,0,0.00000475523829892642
"95",2020-05-25,0,0,0,0.00000670414433629268
"96",2020-05-26,0,0,0,0.00000928442134474604
"97",2020-05-27,0,0,0,0.0000126466944021339
"98",2020-05-28,0,0,0,0.0000169723964855971
"99",2020-05-29,0,0,0,0.0000224800714508641
"100",2020-05-30,0,0,0,0.0000293236036421731
"101",2020-05-31,0,0,0,0.0000377469480793178
"102",2020-06-01,0,0,0,0.0000479153878902444
"103",2020-06-02,0,0,0,0.0000600059403948232
"104",2020-06-03,0,0,0,0.0000741927645711484
"105",2020-06-04,0,0,0,0.0000905794111121134
"106",2020-06-05,0,0,0,0.000109322441983112
"107",2020-06-06,0,0,0,0.000130373937798177
"108",2020-06-07,0,0,0,0.00015379897698435
"109",2020-06-08,0,0,0,0.000179603850875008
"110",2020-06-09,0,0,0,0.00020767864126366
"111",2020-06-10,0,0,0,0.0002380047739647
"112",2020-06-11,0,0,0,0.000270324207938056
"113",2020-06-12,0,0,0,0.000304471541526503
"114",2020-06-13,0,0,0,0.000340378418047171
"115",2020-06-14,0,0,0,0.000377996473817462
"116",2020-06-15,0,0,0,0.000417106525731358
"117",2020-06-16,0,0,0,0.000457622922859233
"118",2020-06-17,0,0,0,0.000499451401809218
"119",2020-06-18,0,0,0,0.000542292992251861
"120",2020-06-19,0,0,0,0.000586205042935866
"121",2020-06-20,0,0,0,0.000631163911886793
"122",2020-06-21,0,0,0,0.000677023819563505
"123",2020-06-22,0,0,0,0.00072375952557975
"124",2020-06-23,0,0,0,0.000771292947758307
"125",2020-06-24,0,0,0,0.000819628121751089
"126",2020-06-25,0,0,0,0.000868754471892265
"127",2020-06-26,0,0,0,0.000918511988664458
"128",2020-06-27,0,0,0,0.000968839272993045
"129",2020-06-28,0,0,0,0.00101962544212164
"130",2020-06-29,0,0,0,0.00107070381294792
"131",2020-06-30,0,0,0,0.00112198847304607
"132",2020-07-01,0,0,0,0.00117343198757088
"133",2020-07-02,0,0,0,0.0012249093326634
"134",2020-07-03,0,0,0,0.00127615180922791
"135",2020-07-04,0,0,0,0.00132722599629791
"136",2020-07-05,0,0,0,0.00137794626323213
"137",2020-07-06,0,0,0,0.00142811347987877
"138",2020-07-07,0,0,0,0.00147770654027957
"139",2020-07-08,0,0,0,0.00152670033304122
"140",2020-07-09,0,0,0,0.0015749149677326
"141",2020-07-10,0,0,0,0.00162223805201792
"142",2020-07-11,0,0,0,0.00166873675879115
"143",2020-07-12,0,0,0,0.00171432131934344
"144",2020-07-13,0,0,0,0.00175886449017006
"145",2020-07-14,0,0,0,0.00180245684603786
"146",2020-07-15,0,0,0,0.0018450272785971
"147",2020-07-16,0,0,0,0.00188664695892887
"148",2020-07-17,0,0,0,0.0019271815450416
"149",2020-07-18,0,0,0,0.00196683682867763
"150",2020-07-19,0,0,0,0.00200559160340611
"151",2020-07-20,0,0,0,0.00204336807889136
"152",2020-07-21,0,0,0,0.00208016702008074
"153",2020-07-22,0,0,0,0.00211608415783161
"154",2020-07-23,0,0,0,0.00215108784952078
"155",2020-07-24,0,0,0,0.00218501174235755
"156",2020-07-25,0,0,0,0.00221811870704322
"157",2020-07-26,0,0,0,0.00225048682447423
"158",2020-07-27,0,0,0,0.00228205958746324
"159",2020-07-28,0,0,0,0.00231279597007589
"160",2020-07-29,0,0,0,0.00234275376255439
"161",2020-07-30,0,0,0,0.00237196041176608
"162",2020-07-31,0,0,0,0.00240036434086651
"163",2020-08-01,0,0,0,0.0024280638611063
"164",2020-08-02,0,0,0,0.00245512438990398
"165",2020-08-03,0,0,0,0.00248157221591405
"166",2020-08-04,0,0,0,0.00250741880456523
"167",2020-08-05,0,0,0,0.00253266867973751
"168",2020-08-06,0,0,0,0.0025575826278036
"169",2020-08-07,0,0,0,0.00258212403698181
"170",2020-08-08,0,0,0,0.00260643098406714
"171",2020-08-09,0,0,0,0.00263070409603954
"172",2020-08-10,0,0,0,0.00265513109677062
"173",2020-08-11,0,0,0,0.00267978832846993
"174",2020-08-12,0,0,0,0.00270480849968872
"175",2020-08-13,0,0,0,0.00273031277562043
"176",2020-08-14,0,0,0,0.00275640114707527
"177",2020-08-15,0,0,0,0.0027832521575513
"178",2020-08-16,0,0,0,0.00281090821377674
"179",2020-08-17,0,0,0,0.00283946444335277
"180",2020-08-18,0,0,0,0.00286899604299126
"181",2020-08-19,0,0,0,0.00289954508604767
"182",2020-08-20,0,0,0,0.00293101527181841
"183",2020-08-21,0,0,0,0.00296336505869429
"184",2020-08-22,0,0,0,0.00299652884242948
"185",2020-08-23,0,0,0,0.00303050761748619
"186",2020-08-24,0,0,0,0.00306525300693321
"187",2020-08-25,0,0,0,0.00310070986028291
"188",2020-08-26,0,0,0,0.00313684969128154
"189",2020-08-27,0,0,0,0.0031737385606376
"190",2020-08-28,0,0,0,0.00321144803878792
"191",2020-08-29,0,0,0,0.0032501826855938
