"","date","binding_score","escape_score"
"1","2020-01-29",0,0
"3","2020-01-30",0,0
"4","2020-01-31",0,0
"5","2020-02-03",0,0
"7","2020-02-04",0,0
"8","2020-02-12",0,0
"9","2020-02-20",0,0
"12","2020-02-21",0,0
"16","2020-02-22",0,0
"36","2020-02-23",0,0
"51","2020-02-24",0,0
"77","2020-02-25",0,0
"102","2020-02-26",0,0
"123","2020-02-27",0,0
"141","2020-02-28",0.0025,0.000100302604166667
"169","2020-02-29",0.00269662921348315,0.000108191573033708
"188","2020-03-01",0.00263736263736264,0.000105813736263736
"214","2020-03-02",0.00282352941176471,0.000113282941176471
"235","2020-03-03",0.0030379746835443,0.000121886708860759
"255","2020-03-04",0.001875,0.000144548263888889
"287","2020-03-05",0.00168224299065421,0.000129688161993769
"311","2020-03-06",-0.000461538461538462,3.26737179487179e-05
"330","2020-03-07",-0.000394736842105263,2.79446271929825e-05
"364","2020-03-08",-0.000402684563758389,2.85072706935123e-05
"402","2020-03-09",-0.000346820809248555,2.45525048169557e-05
"456","2020-03-10",-0.0302732240437158,2.32108378870674e-05
"505","2020-03-11",-0.0299453551912568,0
"528","2020-03-12",-0.0330120481927711,0
"573","2020-03-13",-0.0338064516129032,6.21229032258065e-05
"607","2020-03-14",-0.0366433566433566,6.7336013986014e-05
"644","2020-03-15",-0.0344736842105263,6.33490131578947e-05
"659","2020-03-16",-0.0344736842105263,6.33490131578947e-05
"688","2020-03-17",0.00143712574850299,5.76589820359281e-05
"718","2020-03-18",0.00142011834319527,5.69766272189349e-05
"755","2020-03-19",0.00137931034482759,5.5339367816092e-05
"808","2020-03-20",0,0
"857","2020-03-21",0,0
"901","2020-03-22",0,0
"923","2020-03-23",0,0
"960","2020-03-24",0,0
"991","2020-03-25",0,0
"1013","2020-03-26",0,0
"1072","2020-03-27",0,0
"1092","2020-03-28",0.000181818181818182,3.99207070707071e-05
"1108","2020-03-29",0.000172413793103448,3.78558429118774e-05
"1122","2020-03-30",0,8.07367149758454e-05
"1146","2020-03-31",0,6.8775720164609e-05
"1176","2020-04-01",0,6.75252525252525e-05
"1202","2020-04-02",-0.00261904761904762,0.000243264880952381
"1227","2020-04-03",-0.00440993788819876,0.000284200310559006
"1269","2020-04-04",-0.00473684210526316,0.000290294462719298
"1285","2020-04-05",-0.0045859872611465,0.000281049416135881
"1304","2020-04-06",-0.00398773006134969,0.00030356354805726
"1320","2020-04-07",-0.00492424242424242,0.000374854987373737
"1338","2020-04-08",-0.0082312925170068,0.000438503911564626
"1367","2020-04-09",-0.00524475524475524,0.000277543123543124
"1398","2020-04-10",-0.00324324324324324,0.000235141328828829
"1408","2020-04-11",-0.00337837837837838,0.000201658727477477
"1440","2020-04-12",-0.00384615384615385,0.000229580705128205
"1454","2020-04-13",-0.00413223140495868,0.000351007506887052
"1474","2020-04-14",-0.00423728813559322,0.000359931426553672
"1492","2020-04-15",0.000631578947368421,0.000289396754385965
"1506","2020-04-16",0.000434782608695652,0.000244970289855072
"1527","2020-04-17",0.000476190476190476,0.000268300793650794
"1535","2020-04-18",0.000465116279069767,0.000262061240310078
"1543","2020-04-19",-0.000121951219512195,0.000375108943089431
"1553","2020-04-20",-0.000694444444444444,0.000114189814814815
"1564","2020-04-21",-0.00072463768115942,0.000119154589371981
"1583","2020-04-22",-0.000746268656716418,0.00012271144278607
"1591","2020-04-23",-0.000833333333333333,0.000137027777777778
"1602","2020-04-24",-0.00072463768115942,0.000119154589371981
"1606","2020-04-25",-0.00442622950819672,0.00509810382513661
"1612","2020-04-26",-0.00354838709677419,0.0048832688172043
"1615","2020-04-27",-0.00366666666666667,0.00504604444444444
"1636","2020-04-28",-0.00349206349206349,0.00480575661375661
"1647","2020-04-29",-0.00323529411764706,0.00445239215686275
"1655","2020-04-30",-0.00301369863013699,0.00414743378995434
"1663","2020-05-01",-0.00354838709677419,0.0048832688172043
"1670","2020-05-02",0,0
"1681","2020-05-03",0.001,0.00595749833333333
"1692","2020-05-04",0.00111111111111111,0.00661944259259259
"1701","2020-05-05",0.00111111111111111,0.00661944259259259
"1703","2020-05-06",0.00147058823529412,0.00876102696078431
"1708","2020-05-07",0.00166666666666667,0.00992916388888889
"1711","2020-05-08",0.00208333333333333,0.0124114548611111
"1718","2020-05-10",0.00227272727272727,0.0135397689393939
"1722","2020-05-11",0.00172413793103448,0.0102715488505747
"1726","2020-05-12",0.00208333333333333,0.0124114548611111
"1727","2020-05-13",0.00166666666666667,0.00992916388888889
"1732","2020-05-14",0.00178571428571429,0.0106383898809524
